module,dataset,seed,ap,complete,error,log
dapg2,astyx,2035,25.865,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_astyx_seed2035_gpu3.log
dapg2,kradar,2028,50.0078,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2028_gpu3.log
dapg2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu0.log
dapg2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu1.log
dapg2,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu2.log
dapg2,kradar,2035,51.2833,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_kradar_seed2035_gpu3.log
dapg2,truckscenes,2028,15.71,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_truckscenes_seed2028_gpu1.log
dapg2,truckscenes,2035,11.2407,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_truckscenes_seed2035_gpu1.log
dapg2,v2xradarv,2028,38.6317,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_v2xradarv_seed2028_gpu2.log
dapg2,v2xradarv,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_v2xradarv_seed2035_gpu1.log
dapg2,v2xradarv,2035,42.7964,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg2_v2xradarv_seed2035_gpu2.log
dapg3,astyx,2028,27.8361,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_astyx_seed2028_gpu0.log
dapg3,astyx,2035,25.865,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_astyx_seed2035_gpu0.log
dapg3,kradar,2028,46.775,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2028_gpu3.log
dapg3,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2035_gpu1.log
dapg3,kradar,2035,,False,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2035_gpu2.log
dapg3,kradar,2035,51.2833,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_kradar_seed2035_gpu3.log
dapg3,truckscenes,2028,13.5715,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_truckscenes_seed2028_gpu1.log
dapg3,truckscenes,2034,12.5886,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_truckscenes_seed2034_gpu0.log
dapg3,truckscenes,2035,11.2407,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_truckscenes_seed2035_gpu1.log
dapg3,v2xradarv,2028,38.7661,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_v2xradarv_seed2028_gpu2.log
dapg3,v2xradarv,2035,42.7964,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_dapg3_v2xradarv_seed2035_gpu2.log
four_modules,astyx,2026,26.5709,True,False,/root/autodl-tmp/radar_champion/logs/fair_ablation/fair_four_modules_astyx_seed2026_gpu0.log
